Morus_014829-R1	HART063A_001947-R1
Morus_015467-R1	HART063A_001948-R1
Morus_015558-R1	HART063A_001949-R1
Morus_014483-R1	HART063A_001950-R1
Morus_016063-R1	HART063A_001951-R1
Morus_016038-R1	HART063A_001952-R1
Morus_015344-R2	HART063A_001954-R1
Morus_015524-R1	HART063A_001959-R1
Morus_014616-R1	HART063A_001960-R1
Morus_015842-R1	HART063A_001961-R1
Morus_unassigned_transcript_3849	HART063A_001962-R1
Morus_014487-R1	HART063A_001965-R1
Morus_015346-R1	HART063A_001966-R1
Morus_015427-R1	HART063A_001969-R1
Morus_015633-R1	HART063A_001970-R1
Morus_015251-R1	HART063A_001972-R1
Morus_014306-R1	HART063A_001975-R1
Morus_014263-R1	HART063A_001978-R1
Morus_014695-R1	HART063A_001980-R1
Morus_015353-R1	HART063A_001985-R1
Morus_015171-R1	HART063A_001986-R7
Morus_015382-R1	HART063A_001987-R1
Morus_015992-R1	HART063A_001988-R1
Morus_015058-R1	HART063A_001989-R1
Morus_015272-R1	HART063A_001990-R1
Morus_015154-R1	HART063A_001991-R1
Morus_015300-R1	HART063A_001993-R1
Morus_015774-R1	HART063A_001994-R1
Morus_unassigned_transcript_4354	HART063A_001995-R1
Morus_015618-R1	HART063A_002000-R1
Morus_014308-R1	HART063A_002001-R2
Morus_014309-R1	HART063A_002002-R1
Morus_014771-R1	HART063A_002004-R1
Morus_015663-R1	HART063A_002007-R1
Morus_014427-R1	HART063A_002008-R1
Morus_014639-R1	HART063A_002009-R1
Morus_015649-R1	HART063A_002010-R1
Morus_015231-R1	HART063A_002011-R1
Morus_015525-R1	HART063A_002012-R1
Morus_015160-R1	HART063A_002013-R1
Morus_015821-R1	HART063A_002016-R1
Morus_015455-R1	HART063A_002018-R1
Morus_014510-R1	HART063A_002019-R4
Morus_014641-R1	HART063A_002021-R1
Morus_014805-R1	HART063A_002023-R1
Morus_014289-R2	HART063A_002025-R1
Morus_014481-R1	HART063A_002027-R1
Morus_014450-R1	HART063A_002030-R1
Morus_015362-R1	HART063A_002032-R1
Morus_015090-R1	HART063A_002033-R1
Morus_014246-R1	HART063A_002034-R1
Morus_014782-R1	HART063A_002035-R1
Morus_015383-R1	HART063A_002036-R1
Morus_014354-R2	HART063A_002040-R1
Morus_015694-R1	HART063A_002041-R1
Morus_015552-R1	HART063A_002043-R1
Morus_unassigned_transcript_3933	HART063A_002044-R1
Morus_015652-R1	HART063A_002046-R1
Morus_015012-R1	HART063A_002048-R1
Morus_015462-R1	HART063A_002050-R1
Morus_015359-R1	HART063A_002051-R1
Morus_015883-R1	HART063A_002052-R1
Morus_015442-R1	HART063A_002056-R1
Morus_014626-R1	HART063A_002057-R1
Morus_015759-R1	HART063A_002063-R1
Morus_015905-R1	HART063A_002064-R1
Morus_015986-R1	HART063A_002065-R1
Morus_015897-R1	HART063A_002068-R1
Morus_014604-R1	HART063A_002069-R1
Morus_015530-R1	HART063A_002072-R1
Morus_014275-R1	HART063A_002074-R1
Morus_015863-R1	HART063A_002076-R1
Morus_015864-R1	HART063A_002078-R1
Morus_015882-R1	HART063A_002080-R1
Morus_015108-R1	HART063A_002081-R1
Morus_unassigned_transcript_4031	HART063A_002082-R1
Morus_015360-R1	HART063A_002083-R1
Morus_016005-R1	HART063A_002084-R1
Morus_014341-R1	HART063A_002091-R1
Morus_014577-R1	HART063A_002092-R1
Morus_015885-R1	HART063A_002096-R1
Morus_015064-R1	HART063A_002102-R1
Morus_020730-R2	HART063A_002103-R1
Morus_015786-R1	HART063A_002105-R1
Morus_015610-R1	HART063A_002106-R1
Morus_016039-R1	HART063A_002108-R1
Morus_015532-R1	HART063A_002110-R1
Morus_014561-R1	HART063A_002111-R1
Morus_014535-R1	HART063A_002114-R1
Morus_015529-R1	HART063A_002115-R1
Morus_014677-R1	HART063A_002116-R1
Morus_014747-R1	HART063A_002117-R1
Morus_015578-R1	HART063A_002119-R1
Morus_015690-R1	HART063A_002120-R1
Morus_015432-R1	HART063A_002121-R1
Morus_014292-R1	HART063A_002125-R1
Morus_015647-R1	HART063A_002129-R1
Morus_015131-R1	HART063A_002130-R1
Morus_015298-R2	HART063A_002133-R1
Morus_015264-R2	HART063A_002134-R1
Morus_015871-R1	HART063A_002135-R1
Morus_014493-R2	HART063A_002136-R1
Morus_015785-R1	HART063A_002138-R1
Morus_015372-R1	HART063A_002141-R1
Morus_014409-R1	HART063A_002143-R1
Morus_014303-R1	HART063A_002144-R1
Morus_014765-R1	HART063A_002145-R1
Morus_015338-R1	HART063A_002147-R1
Morus_015838-R1	HART063A_002148-R1
Morus_015295-R1	HART063A_002149-R5
Morus_014785-R1	HART063A_002150-R1
Morus_015788-R1	HART063A_002152-R1
Morus_unassigned_transcript_1598	HART063A_002153-R1
Morus_015758-R1	HART063A_002155-R1
Morus_014606-R1	HART063A_002156-R1
Morus_015818-R1	HART063A_002157-R1
Morus_014282-R1	HART063A_002158-R1
Morus_015424-R1	HART063A_002159-R1
Morus_014875-R1	HART063A_002162-R1
Morus_015202-R3	HART063A_002163-R3
Morus_015257-R2	HART063A_002167-R1
Morus_014608-R1	HART063A_002170-R1
Morus_014525-R1	HART063A_002171-R1
Morus_014690-R1	HART063A_002172-R1
Morus_014691-R1	HART063A_002173-R1
Morus_014693-R1	HART063A_002174-R1
Morus_015909-R1	HART063A_002177-R1
Morus_unassigned_transcript_4029	HART063A_002178-R1
Morus_014743-R1	HART063A_002180-R2
Morus_015397-R1	HART063A_002182-R1
Morus_015123-R1	HART063A_002183-R1
Morus_016061-R1	HART063A_002185-R1
Morus_014806-R1	HART063A_002186-R1
Morus_014659-R1	HART063A_002188-R1
Morus_014651-R1	HART063A_002189-R1
Morus_015129-R1	HART063A_002192-R1
Morus_014668-R2	HART063A_002193-R1
Morus_014557-R1	HART063A_002194-R1
Morus_014803-R1	HART063A_002197-R1
Morus_015425-R1	HART063A_002200-R1
Morus_015799-R1	HART063A_002201-R1
Morus_014333-R1	HART063A_002202-R1
Morus_015502-R1	HART063A_002203-R1
Morus_014540-R1	HART063A_002204-R1
Morus_014541-R1	HART063A_002205-R1
Morus_015220-R1	HART063A_002206-R1
Morus_015682-R1	HART063A_002207-R1
Morus_014619-R1	HART063A_002208-R1
Morus_014628-R1	HART063A_002210-R1
Morus_015584-R1	HART063A_002212-R1
Morus_014646-R1	HART063A_002213-R1
Morus_014615-R1	HART063A_002218-R1
Morus_014838-R1	HART063A_002220-R1
Morus_015898-R1	HART063A_002224-R1
Morus_015242-R1	HART063A_002227-R1
Morus_015423-R1	HART063A_002228-R1
Morus_015846-R1	HART063A_002229-R1
Morus_015689-R1	HART063A_002231-R1
Morus_015952-R1	HART063A_002232-R1
Morus_unassigned_transcript_2576	HART063A_002237-R1
Morus_015890-R1	HART063A_002246-R1
Morus_015899-R1	HART063A_002248-R1
Morus_015794-R1	HART063A_002256-R1
Morus_unassigned_transcript_3866	HART063A_002257-R1
Morus_014528-R1	HART063A_002260-R1
Morus_014527-R1	HART063A_002261-R1
Morus_014744-R1	HART063A_002263-R1
Morus_015634-R1	HART063A_002270-R1
Morus_014422-R1	HART063A_002274-R1
Morus_016009-R1	HART063A_002275-R1
Morus_015969-R1	HART063A_002292-R1
Morus_014820-R1	HART063A_002296-R1
Morus_015288-R1	HART063A_002297-R1
Morus_014827-R1	HART063A_002302-R1
Morus_014830-R1	HART063A_002304-R1
Morus_014831-R1	HART063A_002305-R1
Morus_015638-R1	HART063A_002308-R1
Morus_014358-R1	HART063A_002310-R1
Morus_015409-R1	HART063A_002311-R1
Morus_015780-R1	HART063A_002314-R1
Morus_015725-R1	HART063A_002322-R1
Morus_015672-R1	HART063A_002323-R1
Morus_015280-R1	HART063A_002324-R1
Morus_014759-R1	HART063A_002325-R1
Morus_014687-R1	HART063A_002326-R1
Morus_014757-R1	HART063A_002328-R1
Morus_014758-R1	HART063A_002329-R1
Morus_015594-R1	HART063A_002330-R1
Morus_015599-R1	HART063A_002331-R1
Morus_unassigned_transcript_4022	HART063A_002333-R2
Morus_015601-R1	HART063A_002334-R1
Morus_014777-R1	HART063A_002340-R1
Morus_014766-R1	HART063A_002342-R1
Morus_unassigned_transcript_4124	HART063A_002343-R1
Morus_014768-R1	HART063A_002345-R1
Morus_014769-R1	HART063A_002346-R1
Morus_014694-R1	HART063A_002347-R1
Morus_014449-R1	HART063A_002351-R1
Morus_014286-R1	HART063A_002355-R1
Morus_015405-R1	HART063A_002356-R1
Morus_014587-R1	HART063A_002358-R1
Morus_014594-R1	HART063A_002359-R1
Morus_014739-R2	HART063A_002361-R1
Morus_015659-R1	HART063A_002362-R1
Morus_015249-R1	HART063A_002363-R1
Morus_015806-R1	HART063A_002368-R1
Morus_015213-R1	HART063A_002369-R1
Morus_015142-R1	HART063A_002371-R1
Morus_015032-R1	HART063A_002372-R1
Morus_015225-R1	HART063A_002374-R1
Morus_015226-R2	HART063A_002375-R1
Morus_016026-R1	HART063A_002376-R1
Morus_016029-R1	HART063A_002378-R1
Morus_014295-R1	HART063A_002379-R1
Morus_015179-R1	HART063A_002381-R1
Morus_015312-R1	HART063A_002383-R1
Morus_014649-R1	HART063A_002384-R1
Morus_014612-R1	HART063A_002386-R1
Morus_014291-R2	HART063A_002389-R1
Morus_015504-R1	HART063A_002392-R1
Morus_014531-R1	HART063A_002393-R1
Morus_015636-R1	HART063A_002395-R1
Morus_015481-R1	HART063A_002397-R1
Morus_014534-R1	HART063A_002398-R2
Morus_015135-R1	HART063A_002400-R1
Morus_015490-R2	HART063A_002404-R1
Morus_014516-R1	HART063A_002406-R1
Morus_014653-R1	HART063A_002407-R1
Morus_014654-R1	HART063A_002409-R1
Morus_014629-R1	HART063A_002410-R1
Morus_015187-R1	HART063A_002411-R1
Morus_015188-R1	HART063A_002412-R1
Morus_015538-R1	HART063A_002413-R1
Morus_015386-R1	HART063A_002414-R1
Morus_015387-R1	HART063A_002416-R1
Morus_015144-R1	HART063A_002417-R1
Morus_015186-R1	HART063A_002418-R1
Morus_014446-R1	HART063A_002419-R1
Morus_015569-R1	HART063A_002420-R1
Morus_015393-R1	HART063A_002421-R1
Morus_015678-R1	HART063A_002422-R1
Morus_016031-R1	HART063A_002425-R2
Morus_015817-R1	HART063A_002426-R1
Morus_015947-R1	HART063A_002428-R2
Morus_014556-R1	HART063A_002430-R1
Morus_016030-R1	HART063A_002433-R1
Morus_015422-R1	HART063A_002435-R1
Morus_015258-R1	HART063A_002437-R1
Morus_014253-R1	HART063A_002439-R1
Morus_014255-R3	HART063A_002441-R3
Morus_014585-R1	HART063A_002442-R1
Morus_014356-R1	HART063A_002443-R1
Morus_014513-R1	HART063A_002444-R1
Morus_015516-R1	HART063A_002446-R1
Morus_015151-R1	HART063A_002447-R2
Morus_015976-R1	HART063A_002448-R1
Morus_014584-R1	HART063A_002449-R1
Morus_014815-R1	HART063A_002451-R1
Morus_unassigned_transcript_3914	HART063A_002453-R1
Morus_014461-R1	HART063A_002458-R1
Morus_015673-R1	HART063A_002459-R1
Morus_015352-R1	HART063A_002460-R1
Morus_018833-R1	HART063A_002461-R1
Morus_014441-R1	HART063A_002462-R1
Morus_014442-R1	HART063A_002463-R1
Morus_014443-R1	HART063A_002464-R1
Morus_015140-R1	HART063A_002465-R1
Morus_015750-R1	HART063A_002468-R1
Morus_015752-R1	HART063A_002469-R1
Morus_014420-R1	HART063A_002470-R1
Morus_unassigned_transcript_3911	HART063A_002472-R1
Morus_015414-R1	HART063A_002473-R1
Morus_014414-R1	HART063A_002474-R1
Morus_014339-R1	HART063A_002475-R3
Morus_014467-R1	HART063A_002479-R1
Morus_015348-R1	HART063A_002480-R1
Morus_015195-R1	HART063A_002481-R2
Morus_015984-R1	HART063A_002482-R1
Morus_016021-R1	HART063A_002483-R1
Morus_016053-R1	HART063A_002485-R1
Morus_014406-R1	HART063A_002486-R1
Morus_015391-R1	HART063A_002488-R1
Morus_015463-R1	HART063A_002489-R1
Morus_015669-R1	HART063A_002490-R1
Morus_015247-R1	HART063A_002495-R1
Morus_unassigned_transcript_4209	HART063A_002496-R1
Morus_015340-R1	HART063A_002499-R1
Morus_010115-R1	HART063A_002500-R1
Morus_014283-R1	HART063A_002501-R1
Morus_015506-R1	HART063A_002504-R1
Morus_014637-R1	HART063A_002505-R1
Morus_015613-R1	HART063A_002506-R2
Morus_014586-R1	HART063A_002507-R2
Morus_015487-R1	HART063A_002508-R1
Morus_015488-R1	HART063A_002509-R1
Morus_unassigned_transcript_4092	HART063A_002510-R1
Morus_015912-R1	HART063A_002511-R1
Morus_015521-R1	HART063A_002512-R1
Morus_014400-R1	HART063A_002513-R1
Morus_014359-R1	HART063A_002514-R1
Morus_014679-R1	HART063A_002515-R1
Morus_015655-R1	HART063A_002516-R1
Morus_014624-R1	HART063A_002517-R1
Morus_014623-R1	HART063A_002519-R1
Morus_015146-R1	HART063A_002520-R2
Morus_014360-R1	HART063A_002522-R1
Morus_014312-R1	HART063A_002523-R1
Morus_014314-R1	HART063A_002524-R1
Morus_014438-R1	HART063A_002525-R1
Morus_014562-R1	HART063A_002526-R1
Morus_015122-R1	HART063A_002532-R1
Morus_015303-R2	HART063A_002535-R1
Morus_016018-R1	HART063A_002538-R1
Morus_015451-R1	HART063A_002539-R1
Morus_015452-R1	HART063A_002540-R1
Morus_014754-R1	HART063A_002542-R1
Morus_014755-R5	HART063A_002543-R2
Morus_014701-R3	HART063A_002544-R1
Morus_015301-R1	HART063A_002546-R1
Morus_014469-R1	HART063A_002547-R1
Morus_015607-R1	HART063A_002549-R1
Morus_015253-R1	HART063A_002550-R1
Morus_015626-R1	HART063A_002551-R1
Morus_015627-R1	HART063A_002552-R1
Morus_015125-R1	HART063A_002554-R1
Morus_014645-R1	HART063A_002556-R1
Morus_015995-R1	HART063A_002557-R1
Morus_015185-R1	HART063A_002558-R1
Morus_015246-R1	HART063A_002560-R1
Morus_015674-R1	HART063A_002561-R1
Morus_006093-R2	HART063A_002562-R1
Morus_014772-R1	HART063A_002569-R1
Morus_014334-R1	HART063A_002570-R1
Morus_014506-R1	HART063A_002571-R1
Morus_015132-R1	HART063A_002572-R1
Morus_014248-R1	HART063A_002573-R1
Morus_015311-R1	HART063A_002576-R1
Morus_014471-R1	HART063A_002577-R1
Morus_014686-R1	HART063A_002579-R1
Morus_014304-R1	HART063A_002580-R1
Morus_014753-R1	HART063A_002581-R1
Morus_014337-R1	HART063A_002585-R1
Morus_014338-R1	HART063A_002586-R1
Morus_015114-R1	HART063A_002587-R1
Morus_015138-R1	HART063A_002588-R1
Morus_015509-R1	HART063A_002589-R1
Morus_014685-R1	HART063A_002591-R1
Morus_014609-R1	HART063A_002592-R1
Morus_015477-R1	HART063A_002593-R1
Morus_014379-R4	HART063A_002594-R1
Morus_015645-R1	HART063A_002595-R1
Morus_015445-R1	HART063A_002599-R1
Morus_014331-R1	HART063A_002601-R1
Morus_015802-R1	HART063A_002602-R1
Morus_015497-R1	HART063A_002605-R1
Morus_014363-R1	HART063A_002607-R2
Morus_014364-R1	HART063A_002608-R1
Morus_unassigned_transcript_3906	HART063A_002609-R1
Morus_015221-R1	HART063A_002610-R1
Morus_014698-R1	HART063A_002611-R2
Morus_014276-R1	HART063A_002612-R3
Morus_015865-R1	HART063A_002616-R1
Morus_unassigned_transcript_4054	HART063A_002617-R1
Morus_015606-R1	HART063A_002619-R1
Morus_015819-R1	HART063A_002620-R1
Morus_015738-R1	HART063A_002625-R1
Morus_015289-R1	HART063A_002627-R1
Morus_014394-R1	HART063A_002631-R1
Morus_014492-R1	HART063A_002633-R1
Morus_014376-R1	HART063A_002634-R1
Morus_014463-R1	HART063A_002635-R2
Morus_014464-R1	HART063A_002636-R1
Morus_014574-R1	HART063A_002638-R1
Morus_014398-R1	HART063A_002640-R2
Morus_014660-R1	HART063A_002641-R1
Morus_014370-R1	HART063A_002642-R1
Morus_015875-R1	HART063A_002643-R1
Morus_015112-R1	HART063A_002644-R1
Morus_015113-R1	HART063A_002645-R1
Morus_014285-R1	HART063A_002646-R1
Morus_014680-R1	HART063A_002649-R1
Morus_014542-R1	HART063A_002650-R1
Morus_014543-R1	HART063A_002651-R1
Morus_015795-R1	HART063A_002652-R1
Morus_014779-R1	HART063A_002653-R1
Morus_014517-R1	HART063A_002654-R1
Morus_014518-R2	HART063A_002655-R1
Morus_014311-R1	HART063A_002656-R1
Morus_014369-R1	HART063A_002657-R1
Morus_014792-R1	HART063A_002658-R1
Morus_015284-R1	HART063A_002659-R1
Morus_015648-R1	HART063A_002660-R1
Morus_015367-R1	HART063A_002663-R1
Morus_015368-R1	HART063A_002664-R1
Morus_015208-R1	HART063A_002665-R1
Morus_015148-R1	HART063A_002666-R1
Morus_014374-R1	HART063A_002669-R1
Morus_014644-R1	HART063A_002671-R1
Morus_015332-R1	HART063A_002676-R1
Morus_014793-R1	HART063A_002677-R1
Morus_017004-R1	HART063A_002679-R1
Morus_015749-R1	HART063A_002680-R1
Morus_014532-R1	HART063A_002682-R1
Morus_014533-R1	HART063A_002684-R1
Morus_015527-R1	HART063A_002685-R1
Morus_015197-R1	HART063A_002686-R1
Morus_015999-R1	HART063A_002687-R1
Morus_014278-R1	HART063A_002688-R1
Morus_015245-R1	HART063A_002689-R1
Morus_015453-R1	HART063A_002691-R1
Morus_015567-R1	HART063A_002692-R1
Morus_015457-R1	HART063A_002693-R1
Morus_014783-R1	HART063A_002695-R2
Morus_014751-R1	HART063A_002698-R1
Morus_unassigned_transcript_4019	HART063A_002699-R1
Morus_016046-R1	HART063A_002700-R1
Morus_015106-R1	HART063A_002701-R1
Morus_014727-R1	HART063A_002704-R2
Morus_015699-R3	HART063A_002705-R1
Morus_015827-R1	HART063A_002707-R1
Morus_015537-R1	HART063A_002708-R1
Morus_015927-R1	HART063A_002709-R1
Morus_015727-R1	HART063A_002713-R1
Morus_015921-R1	HART063A_002714-R1
Morus_015293-R1	HART063A_002715-R1
Morus_015294-R1	HART063A_002716-R1
Morus_015110-R1	HART063A_002717-R1
Morus_015111-R1	HART063A_002718-R1
Morus_014564-R1	HART063A_002719-R1
Morus_unassigned_transcript_3985	HART063A_002729-R1
Morus_014430-R1	HART063A_002730-R1
Morus_014367-R1	HART063A_002731-R1
Morus_015373-R1	HART063A_002733-R2
Morus_014490-R1	HART063A_002734-R1
Morus_014671-R1	HART063A_002737-R1
Morus_015616-R1	HART063A_002738-R1
Morus_015662-R1	HART063A_002740-R1
Morus_014581-R1	HART063A_002741-R1
Morus_014365-R1	HART063A_002743-R1
Morus_015305-R1	HART063A_002744-R1
Morus_015723-R1	HART063A_002746-R1
Morus_015676-R1	HART063A_002748-R1
Morus_015677-R1	HART063A_002749-R1
Morus_015515-R1	HART063A_002750-R1
Morus_014519-R1	HART063A_002754-R1
Morus_014568-R1	HART063A_002755-R1
Morus_015798-R1	HART063A_002757-R1
Morus_014355-R1	HART063A_002758-R1
Morus_015570-R1	HART063A_002759-R2
Morus_014763-R1	HART063A_002760-R1
Morus_015931-R1	HART063A_002761-R2
Morus_015977-R1	HART063A_002762-R1
Morus_015619-R1	HART063A_002765-R2
Morus_014712-R1	HART063A_002766-R1
Morus_014500-R1	HART063A_002769-R1
Morus_014388-R1	HART063A_002771-R1
Morus_unassigned_transcript_3917	HART063A_002772-R1
Morus_015263-R1	HART063A_002776-R1
Morus_014397-R1	HART063A_002777-R1
Morus_014748-R1	HART063A_002778-R1
Morus_015623-R1	HART063A_002783-R1
Morus_014505-R1	HART063A_002787-R1
Morus_014521-R1	HART063A_002788-R1
Morus_015900-R1	HART063A_002789-R1
Morus_014424-R1	HART063A_002790-R1
Morus_014296-R1	HART063A_002791-R1
Morus_015116-R1	HART063A_002794-R1
Morus_015316-R1	HART063A_002796-R1
Morus_014580-R1	HART063A_002797-R1
Morus_014488-R1	HART063A_002799-R1
Morus_014445-R1	HART063A_002801-R1
Morus_014284-R1	HART063A_002802-R1
Morus_014460-R1	HART063A_002803-R1
Morus_unassigned_transcript_3840	HART063A_002804-R1
Morus_014588-R1	HART063A_002806-R1
Morus_014590-R1	HART063A_002807-R1
Morus_014703-R1	HART063A_002808-R1
Morus_014377-R1	HART063A_002811-R1
Morus_014243-R1	HART063A_002815-R1
Morus_014268-R1	HART063A_002816-R1
Morus_015868-R1	HART063A_002818-R2
Morus_015214-R1	HART063A_002820-R1
Morus_015306-R1	HART063A_002821-R1
Morus_015612-R1	HART063A_002822-R1
Morus_015236-R1	HART063A_002823-R1
Morus_014560-R1	HART063A_002824-R1
Morus_015644-R1	HART063A_002826-R1
Morus_015717-R1	HART063A_002829-R1
Morus_015215-R1	HART063A_002830-R1
Morus_015377-R1	HART063A_002832-R1
Morus_014640-R1	HART063A_002833-R1
Morus_014638-R1	HART063A_002835-R1
Morus_015534-R1	HART063A_002838-R1
Morus_014472-R1	HART063A_002840-R1
Morus_015460-R1	HART063A_002841-R1
Morus_015734-R1	HART063A_002842-R1
Morus_014647-R1	HART063A_002847-R1
Morus_014387-R1	HART063A_002848-R1
Morus_014380-R1	HART063A_002849-R1
Morus_015262-R1	HART063A_002851-R1
Morus_015400-R1	HART063A_002856-R1
Morus_014353-R1	HART063A_002857-R1
Morus_015450-R1	HART063A_002858-R1
Morus_014436-R1	HART063A_002859-R1
Morus_015736-R1	HART063A_002862-R1
Morus_015307-R1	HART063A_002863-R1
Morus_015792-R1	HART063A_002873-R1
Morus_014399-R1	HART063A_002874-R1
Morus_015793-R1	HART063A_002875-R1
Morus_014401-R1	HART063A_002879-R1
Morus_015660-R1	HART063A_002880-R1
Morus_015661-R1	HART063A_002881-R1
Morus_015139-R1	HART063A_002882-R1
Morus_014413-R1	HART063A_002884-R1
Morus_016019-R1	HART063A_002885-R1
Morus_unassigned_transcript_4264	HART063A_002887-R1
Morus_015665-R1	HART063A_002888-R1
Morus_014342-R1	HART063A_002889-R1
Morus_014714-R1	HART063A_002890-R1
Morus_014717-R1	HART063A_002892-R1
Morus_015630-R2	HART063A_002893-R1
Morus_015631-R1	HART063A_002894-R1
Morus_014368-R1	HART063A_002895-R1
Morus_015830-R1	HART063A_002897-R1
Morus_015456-R1	HART063A_002898-R1
Morus_014459-R1	HART063A_002899-R1
Morus_014622-R1	HART063A_002900-R1
Morus_015448-R1	HART063A_002902-R1
Morus_014797-R1	HART063A_002903-R1
Morus_014468-R1	HART063A_002906-R1
Morus_015990-R1	HART063A_002907-R1
Morus_002408-R1	HART063A_002908-R1
Morus_015222-R1	HART063A_002909-R1
Morus_014261-R1	HART063A_002914-R1
Morus_015751-R1	HART063A_002915-R1
Morus_015322-R1	HART063A_002917-R1
Morus_015323-R1	HART063A_002918-R1
Morus_014834-R1	HART063A_002920-R1
Morus_015961-R1	HART063A_002922-R1
Morus_unassigned_transcript_3940	HART063A_002942-R1
Morus_unassigned_transcript_3945	HART063A_002948-R1
Morus_014861-R1	HART063A_002957-R1
Morus_014874-R1	HART063A_002961-R1
Morus_014882-R1	HART063A_002973-R1
Morus_014795-R1	HART063A_002975-R1
Morus_014919-R1	HART063A_002996-R1
Morus_014927-R1	HART063A_003000-R1
Morus_014928-R1	HART063A_003004-R1
Morus_014930-R1	HART063A_003007-R1
Morus_002454-R1	HART063A_003010-R1
Morus_014938-R1	HART063A_003012-R1
Morus_014949-R1	HART063A_003015-R1
Morus_015172-R1	HART063A_003022-R1
Morus_014952-R1	HART063A_003023-R1
Morus_unassigned_transcript_4971	HART063A_003035-R1
Morus_014973-R1	HART063A_003046-R1
Morus_014982-R1	HART063A_003051-R1
Morus_015708-R1	HART063A_003056-R1
Morus_015001-R1	HART063A_003074-R1
Morus_014429-R1	HART063A_003079-R1
Morus_014462-R1	HART063A_003083-R1
Morus_014720-R1	HART063A_003089-R1
Morus_unassigned_transcript_793	HART063A_003090-R1
Morus_unassigned_transcript_4181	HART063A_003093-R1
Morus_015035-R1	HART063A_003121-R1
Morus_015234-R1	HART063A_003124-R1
Morus_015183-R1	HART063A_003125-R1
Morus_015050-R1	HART063A_003127-R1
Morus_015624-R1	HART063A_003129-R1
Morus_015210-R1	HART063A_003136-R1
Morus_015073-R1	HART063A_003141-R1
Morus_015081-R1	HART063A_003146-R1
Morus_015741-R1	HART063A_003150-R1
Morus_014696-R1	HART063A_003151-R1
Morus_014605-R1	HART063A_003152-R1
Morus_015098-R1	HART063A_003153-R1
Morus_015589-R1	HART063A_003154-R1
Morus_015731-R1	HART063A_003155-R1
Morus_015951-R1	HART063A_003157-R1
Morus_014465-R1	HART063A_003159-R1
Morus_014816-R1	HART063A_003160-R1
Morus_015968-R1	HART063A_003161-R1
Morus_010951-R1	HART063A_003163-R1
Morus_015468-R2	HART063A_003167-R1
Morus_015801-R1	HART063A_003172-R1
Morus_015324-R1	HART063A_003177-R1
Morus_014373-R1	HART063A_003179-R1
Morus_014351-R1	HART063A_003184-R1
Morus_016056-R1	HART063A_003186-R1
Morus_015778-R1	HART063A_003188-R1
Morus_014302-R1	HART063A_003189-R1
Morus_014673-R1	HART063A_003192-R1
Morus_014426-R1	HART063A_003193-R1
Morus_015127-R1	HART063A_003194-R1
Morus_014432-R1	HART063A_003195-R1
Morus_014433-R1	HART063A_003196-R1
Morus_015839-R1	HART063A_003197-R1
Morus_014569-R1	HART063A_003199-R1
Morus_014489-R1	HART063A_003201-R1
Morus_015684-R1	HART063A_003203-R1
Morus_015685-R1	HART063A_003204-R1
Morus_014618-R1	HART063A_003206-R1
Morus_015062-R1	HART063A_003207-R2
Morus_015143-R1	HART063A_003208-R1
Morus_014294-R1	HART063A_003210-R1
Morus_014346-R1	HART063A_003212-R1
Morus_015254-R1	HART063A_003216-R1
Morus_015614-R1	HART063A_003217-R1
Morus_015505-R1	HART063A_003223-R1
