Morus_000003-R1	Bato_000003-R1	ArtoA_013067-R1	ArtoB_020652-R1
Morus_000293-R1	Bato_000293-R1	ArtoA_014105-R1	ArtoB_unassigned_transcript_1330
Morus_000294-R1	Bato_000294-R1	ArtoA_014027-R1	ArtoB_013051-R1
Morus_000296-R1	Bato_000296-R1	ArtoA_013698-R1	ArtoB_012438-R1
Morus_000297-R1	Bato_000297-R1	ArtoA_013497-R1	ArtoB_012780-R1
Morus_000300-R1	Bato_000300-R1	ArtoA_013776-R1	ArtoB_012733-R1
Morus_000302-R1	Bato_000302-R1	ArtoA_017093-R1	ArtoB_unassigned_transcript_422
Morus_000303-R4	Bato_000303-R4	ArtoA_014397-R1	ArtoB_012545-R3
Morus_000304-R1	Bato_000304-R1	ArtoA_014398-R1	ArtoB_012546-R1
Morus_000305-R1	Bato_000305-R1	ArtoA_014219-R1	ArtoB_013207-R1
Morus_000306-R1	Bato_000306-R1	ArtoA_013534-R1	ArtoB_013054-R1
Morus_000307-R1	Bato_000307-R1	ArtoA_011686-R1	ArtoB_022219-R1
Morus_000309-R1	Bato_000309-R1	ArtoA_014408-R1	ArtoB_013389-R1
Morus_000312-R1	Bato_000312-R1	ArtoA_014096-R1	ArtoB_unassigned_transcript_1346
Morus_000314-R2	Bato_000314-R2	ArtoA_014033-R2	ArtoB_unassigned_transcript_1296
Morus_000315-R1	Bato_000315-R1	ArtoA_014887-R1	ArtoB_023413-R1
Morus_000316-R1	Bato_000316-R1	ArtoA_013786-R1	ArtoB_012982-R1
Morus_000318-R1	Bato_000318-R1	ArtoA_014516-R1	ArtoB_013330-R1
Morus_000321-R1	Bato_000321-R1	ArtoA_014158-R3	ArtoB_013001-R2
Morus_000323-R1	Bato_000323-R1	ArtoA_013472-R1	ArtoB_012876-R1
Morus_000325-R1	Bato_000325-R1	ArtoA_014279-R1	ArtoB_012884-R1
Morus_000326-R1	Bato_000326-R1	ArtoA_014280-R1	ArtoB_012883-R1
Morus_000328-R1	Bato_000328-R1	ArtoA_014010-R1	ArtoB_012805-R1
Morus_000332-R1	Bato_000332-R1	ArtoA_013730-R1	ArtoB_unassigned_transcript_1249
Morus_000334-R2	Bato_000334-R2	ArtoA_014354-R1	ArtoB_013369-R1
Morus_000335-R2	Bato_000335-R2	ArtoA_014009-R2	ArtoB_012739-R1
Morus_000336-R3	Bato_000336-R3	ArtoA_014450-R1	ArtoB_unassigned_transcript_1361
Morus_000337-R1	Bato_000337-R1	ArtoA_013483-R1	ArtoB_012820-R1
Morus_000338-R1	Bato_000338-R1	ArtoA_014260-R1	ArtoB_012957-R1
Morus_000339-R1	Bato_000339-R1	ArtoA_014271-R1	ArtoB_012632-R1
Morus_000340-R2	Bato_000340-R2	ArtoA_014357-R1	ArtoB_012627-R1
Morus_000341-R1	Bato_000341-R1	ArtoA_014329-R1	ArtoB_012655-R1
Morus_000342-R1	Bato_000342-R1	ArtoA_014029-R1	ArtoB_013312-R1
Morus_000346-R1	Bato_000346-R1	ArtoA_014608-R1	ArtoB_013168-R1
Morus_000347-R1	Bato_000347-R1	ArtoA_014245-R1	ArtoB_013015-R1
Morus_000348-R1	Bato_000348-R1	ArtoA_011946-R2	ArtoB_unassigned_transcript_478
Morus_000349-R1	Bato_000349-R1	ArtoA_013702-R1	ArtoB_012892-R5
Morus_000350-R1	Bato_000350-R1	ArtoA_013703-R5	ArtoB_012891-R1
Morus_000354-R1	Bato_000797-R1	ArtoA_013986-R1	ArtoB_012942-R1
Morus_000355-R1	Bato_000355-R1	ArtoA_014342-R1	ArtoB_012900-R1
Morus_000356-R1	Bato_000356-R1	ArtoA_014420-R1	ArtoB_012890-R1
Morus_000358-R1	Bato_000358-R1	ArtoA_013504-R1	ArtoB_012472-R1
Morus_000359-R1	Bato_000359-R1	ArtoA_013505-R1	ArtoB_unassigned_transcript_1447
Morus_000362-R1	Bato_000362-R1	ArtoA_013055-R1	ArtoB_024897-R1
Morus_000370-R1	Bato_000370-R1	ArtoA_unassigned_transcript_1783	ArtoB_012678-R1
Morus_000372-R1	Bato_000372-R1	ArtoA_013728-R1	ArtoB_012775-R1
Morus_000374-R1	Bato_000374-R1	ArtoA_017251-R1	ArtoB_unassigned_transcript_491
Morus_000376-R1	Bato_000376-R1	ArtoA_013707-R1	ArtoB_012437-R1
Morus_000377-R1	Bato_000377-R1	ArtoA_013469-R1	ArtoB_012997-R1
Morus_000378-R1	Bato_000378-R1	ArtoA_014630-R4	ArtoB_012998-R2
Morus_000379-R1	Bato_000379-R1	ArtoA_013993-R1	ArtoB_012641-R1
Morus_000381-R1	Bato_000381-R1	ArtoA_013994-R1	ArtoB_012848-R1
Morus_000382-R1	Bato_000382-R1	ArtoA_013608-R1	ArtoB_012971-R1
Morus_000383-R1	Bato_000383-R1	ArtoA_014511-R1	ArtoB_013004-R1
Morus_000385-R1	Bato_000385-R1	ArtoA_014057-R1	ArtoB_013379-R1
Morus_000386-R1	Bato_000386-R1	ArtoA_013997-R1	ArtoB_012455-R2
Morus_000392-R1	Bato_000392-R1	ArtoA_013491-R1	ArtoB_012576-R1
Morus_000394-R1	Bato_000394-R1	ArtoA_014055-R1	ArtoB_012857-R1
Morus_000397-R1	Bato_000397-R1	ArtoA_014065-R1	ArtoB_012851-R1
Morus_000398-R1	Bato_000398-R1	ArtoA_014190-R1	ArtoB_013314-R1
Morus_000399-R1	Bato_000399-R1	ArtoA_014191-R1	ArtoB_013349-R2
Morus_000400-R1	Bato_000400-R1	ArtoA_014254-R1	ArtoB_013011-R1
Morus_000402-R1	Bato_000402-R1	ArtoA_013756-R1	ArtoB_012677-R1
Morus_000404-R1	Bato_000404-R1	ArtoA_014300-R1	ArtoB_013010-R1
Morus_000405-R1	Bato_020711-R1	ArtoA_011518-R4	ArtoB_009186-R1
Morus_000406-R1	Bato_000406-R1	ArtoA_014373-R1	ArtoB_013329-R1
Morus_000409-R1	Bato_000409-R1	ArtoA_014588-R1	ArtoB_012492-R2
Morus_000411-R1	Bato_000411-R1	ArtoA_014071-R1	ArtoB_012919-R1
Morus_000412-R1	Bato_000412-R1	ArtoA_013751-R1	ArtoB_unassigned_transcript_1413
Morus_000413-R1	Bato_000413-R1	ArtoA_013752-R1	ArtoB_012886-R2
Morus_000415-R1	Bato_000415-R1	ArtoA_014637-R1	ArtoB_012650-R1
Morus_000416-R1	Bato_000330-R1	ArtoA_014657-R1	ArtoB_012498-R1
Morus_000418-R1	Bato_000418-R1	ArtoA_014532-R1	ArtoB_unassigned_transcript_1383
Morus_000421-R1	Bato_000421-R1	ArtoA_014696-R1	ArtoB_012518-R1
Morus_000422-R1	Bato_000626-R1	ArtoA_014504-R1	ArtoB_012863-R1
Morus_000426-R1	Bato_000426-R1	ArtoA_014664-R1	ArtoB_012784-R1
Morus_000427-R1	Bato_000427-R1	ArtoA_013601-R1	ArtoB_012968-R1
Morus_000429-R1	Bato_000429-R1	ArtoA_014213-R1	ArtoB_012983-R1
Morus_000433-R1	Bato_000433-R1	ArtoA_014151-R1	ArtoB_012833-R1
Morus_000434-R1	Bato_000434-R1	ArtoA_014476-R1	ArtoB_013296-R1
Morus_000438-R1	Bato_000438-R1	ArtoA_014327-R1	ArtoB_012653-R1
Morus_000439-R1	Bato_000439-R1	ArtoA_013671-R1	ArtoB_unassigned_transcript_1459
Morus_000446-R1	Bato_000446-R1	ArtoA_014122-R1	ArtoB_018147-R1
Morus_000449-R1	Bato_000449-R1	ArtoA_014388-R1	ArtoB_012807-R2
Morus_000451-R1	Bato_000451-R1	ArtoA_014454-R1	ArtoB_012845-R1
Morus_000452-R1	Bato_000452-R1	ArtoA_014237-R1	ArtoB_unassigned_transcript_1410
Morus_000454-R1	Bato_000454-R1	ArtoA_013936-R1	ArtoB_012465-R1
Morus_000455-R1	Bato_000455-R1	ArtoA_014679-R1	ArtoB_012774-R1
Morus_000456-R3	Bato_000456-R3	ArtoA_014384-R4	ArtoB_013006-R1
Morus_000457-R1	Bato_000457-R1	ArtoA_014369-R1	ArtoB_013320-R1
Morus_000458-R1	Bato_000458-R1	ArtoA_014312-R1	ArtoB_013394-R1
Morus_000459-R1	Bato_001433-R1	ArtoA_014078-R1	ArtoB_012752-R2
Morus_000460-R1	Bato_000460-R1	ArtoA_013761-R1	ArtoB_013341-R1
Morus_000462-R1	Bato_000462-R1	ArtoA_014602-R1	ArtoB_012995-R1
Morus_000470-R2	Bato_000470-R2	ArtoA_013482-R1	ArtoB_013338-R2
Morus_000475-R1	Bato_000475-R1	ArtoA_014181-R1	ArtoB_unassigned_transcript_1356
Morus_000481-R1	Bato_000481-R1	ArtoA_unassigned_transcript_1596	ArtoB_012817-R1
Morus_000495-R1	Bato_000495-R1	ArtoA_015699-R1	ArtoB_019944-R1
Morus_000499-R1	Bato_000499-R1	ArtoA_014153-R2	ArtoB_012660-R1
Morus_000502-R1	Bato_000502-R1	ArtoA_014160-R1	ArtoB_013433-R3
Morus_000508-R1	Bato_000508-R1	ArtoA_013521-R1	ArtoB_013056-R1
Morus_000513-R1	Bato_000513-R1	ArtoA_015777-R2	ArtoB_018669-R1
Morus_000515-R1	Bato_000515-R1	ArtoA_014485-R1	ArtoB_012554-R2
Morus_000516-R1	Bato_000516-R1	ArtoA_014486-R1	ArtoB_012553-R1
Morus_000517-R1	Bato_000517-R1	ArtoA_013760-R1	ArtoB_012575-R3
Morus_000518-R1	Bato_000518-R1	ArtoA_013924-R1	ArtoB_012463-R1
Morus_000519-R1	Bato_000519-R1	ArtoA_013513-R1	ArtoB_012930-R1
Morus_000520-R1	Bato_000520-R1	ArtoA_unassigned_transcript_103	ArtoB_012847-R1
Morus_000522-R1	Bato_000522-R1	ArtoA_014380-R1	ArtoB_unassigned_transcript_1321
Morus_000523-R1	Bato_000523-R1	ArtoA_014606-R1	ArtoB_012493-R1
Morus_000525-R1	Bato_000525-R1	ArtoA_unassigned_transcript_53	ArtoB_023375-R1
Morus_000526-R1	Bato_000526-R1	ArtoA_014073-R1	ArtoB_013356-R1
Morus_000527-R1	Bato_000527-R1	ArtoA_013753-R1	ArtoB_012587-R1
Morus_000528-R3	Bato_000528-R3	ArtoA_014456-R1	ArtoB_012803-R1
Morus_000529-R1	Bato_000529-R1	ArtoA_018511-R1	ArtoB_022539-R1
Morus_000533-R1	Bato_000533-R1	ArtoA_013660-R1	ArtoB_012452-R1
Morus_000534-R1	Bato_000534-R1	ArtoA_013661-R1	ArtoB_012449-R1
Morus_000537-R1	Bato_000537-R1	ArtoA_011850-R1	ArtoB_026661-R1
Morus_000543-R1	Bato_000543-R1	ArtoA_013722-R1	ArtoB_unassigned_transcript_1423
Morus_000544-R1	Bato_000544-R1	ArtoA_014101-R1	ArtoB_012552-R1
Morus_000547-R1	Bato_000547-R1	ArtoA_014453-R1	ArtoB_012484-R1
Morus_000548-R2	Bato_000548-R2	ArtoA_014235-R10	ArtoB_012462-R1
Morus_000549-R1	Bato_000549-R1	ArtoA_006019-R1	ArtoB_020711-R1
Morus_000552-R1	Bato_000552-R1	ArtoA_014272-R1	ArtoB_013043-R2
Morus_000554-R1	Bato_000554-R1	ArtoA_014395-R1	ArtoB_012836-R1
Morus_000558-R1	Bato_000558-R1	ArtoA_014407-R1	ArtoB_012858-R1
Morus_000560-R1	Bato_000560-R1	ArtoA_014356-R1	ArtoB_012680-R1
Morus_000561-R1	Bato_000561-R1	ArtoA_014288-R1	ArtoB_012927-R2
Morus_000563-R1	Bato_000563-R1	ArtoA_014035-R1	ArtoB_012675-R1
Morus_000564-R1	Bato_000564-R1	ArtoA_unassigned_transcript_1711	ArtoB_012676-R1
Morus_000565-R1	Bato_000565-R1	ArtoA_014616-R1	ArtoB_012685-R1
Morus_000566-R1	Bato_000566-R1	ArtoA_014293-R1	ArtoB_012981-R1
Morus_000567-R1	Bato_000567-R1	ArtoA_014562-R1	ArtoB_013328-R1
Morus_000568-R1	Bato_000568-R1	ArtoA_014501-R1	ArtoB_012861-R1
Morus_000570-R1	Bato_000570-R1	ArtoA_014355-R1	ArtoB_013398-R1
Morus_000574-R1	Bato_000574-R1	ArtoA_013581-R1	ArtoB_012630-R1
Morus_000575-R1	Bato_000575-R1	ArtoA_014618-R1	ArtoB_012734-R1
Morus_000576-R1	Bato_000576-R1	ArtoA_014200-R1	ArtoB_013361-R1
Morus_000579-R1	Bato_000579-R1	ArtoA_014004-R1	ArtoB_013042-R1
Morus_000580-R1	Bato_000580-R1	ArtoA_013695-R1	ArtoB_012547-R1
Morus_000584-R1	Bato_000584-R1	ArtoA_013488-R1	ArtoB_013034-R1
Morus_000585-R1	Bato_000585-R1	ArtoA_014156-R1	ArtoB_012469-R1
Morus_000589-R1	Bato_000589-R1	ArtoA_013923-R1	ArtoB_023486-R1
Morus_000590-R1	Bato_000590-R1	ArtoA_014622-R1	ArtoB_012894-R1
Morus_000591-R1	Bato_000591-R1	ArtoA_013779-R1	ArtoB_012550-R1
Morus_000592-R1	Bato_000592-R1	ArtoA_014098-R1	ArtoB_012548-R1
Morus_000593-R1	Bato_000593-R1	ArtoA_014246-R1	ArtoB_012563-R1
Morus_000597-R1	Bato_000597-R1	ArtoA_014610-R1	ArtoB_012955-R1
Morus_000600-R1	Bato_000600-R1	ArtoA_013733-R1	ArtoB_013316-R1
Morus_000601-R1	Bato_000601-R1	ArtoA_014047-R1	ArtoB_unassigned_transcript_1190
Morus_000603-R1	Bato_000603-R1	ArtoA_014503-R1	ArtoB_012979-R1
Morus_000606-R1	Bato_000606-R1	ArtoA_005314-R1	ArtoB_unassigned_transcript_480
Morus_000607-R1	Bato_000607-R1	ArtoA_014273-R2	ArtoB_012871-R1
Morus_000609-R1	Bato_000609-R1	ArtoA_014539-R1	ArtoB_012503-R1
Morus_000617-R1	Bato_000617-R1	ArtoA_014125-R1	ArtoB_013044-R1
Morus_000621-R1	Bato_000621-R1	ArtoA_014037-R1	ArtoB_013417-R2
Morus_000625-R1	Bato_000625-R1	ArtoA_013717-R1	ArtoB_012984-R1
Morus_000629-R1	Bato_000629-R1	ArtoA_013451-R1	ArtoB_013261-R1
Morus_000630-R1	Bato_000630-R1	ArtoA_unassigned_transcript_1703	ArtoB_013174-R1
Morus_000636-R1	Bato_000636-R1	ArtoA_013454-R1	ArtoB_012920-R1
Morus_000637-R1	Bato_000637-R1	ArtoA_012898-R4	ArtoB_020080-R1
Morus_000640-R1	Bato_000640-R1	ArtoA_013585-R1	ArtoB_012911-R1
Morus_000641-R1	Bato_000641-R1	ArtoA_014368-R1	ArtoB_012703-R1
Morus_000643-R1	Bato_000643-R1	ArtoA_009200-R1	ArtoB_022561-R1
Morus_000645-R1	Bato_000645-R1	ArtoA_014471-R1	ArtoB_013049-R1
Morus_000648-R1	Bato_000648-R1	ArtoA_014585-R1	ArtoB_013016-R1
Morus_000650-R1	Bato_000650-R1	ArtoA_017413-R1	ArtoB_024084-R1
Morus_000651-R1	Bato_000651-R1	ArtoA_014615-R1	ArtoB_022995-R1
Morus_000652-R1	Bato_000652-R1	ArtoA_014077-R1	ArtoB_012768-R1
Morus_000654-R1	Bato_000654-R1	ArtoA_014292-R1	ArtoB_012559-R1
Morus_000655-R1	Bato_000655-R1	ArtoA_013492-R1	ArtoB_013037-R1
Morus_000656-R1	Bato_001165-R1	ArtoA_013783-R1	ArtoB_013299-R1
Morus_000657-R1	Bato_000657-R1	ArtoA_014635-R1	ArtoB_012797-R1
Morus_000659-R1	Bato_000659-R1	ArtoA_014106-R1	ArtoB_024381-R1
Morus_000660-R1	Bato_000660-R1	ArtoA_014209-R1	ArtoB_012500-R1
Morus_000666-R1	Bato_000666-R1	ArtoA_014538-R1	ArtoB_013025-R1
Morus_000669-R1	Bato_000669-R1	ArtoA_unassigned_transcript_1473	ArtoB_012963-R1
Morus_000674-R1	Bato_000674-R1	ArtoA_014062-R1	ArtoB_013372-R1
Morus_000675-R1	Bato_000675-R1	ArtoA_014372-R1	ArtoB_013022-R1
Morus_000676-R1	Bato_000676-R1	ArtoA_014081-R1	ArtoB_012593-R1
Morus_000677-R1	Bato_000677-R1	ArtoA_014410-R1	ArtoB_unassigned_transcript_1206
Morus_000680-R1	Bato_000680-R1	ArtoA_012512-R1	ArtoB_unassigned_transcript_326
Morus_000682-R1	Bato_000682-R1	ArtoA_013471-R1	ArtoB_013009-R1
Morus_000685-R1	Bato_000685-R1	ArtoA_014038-R1	ArtoB_unassigned_transcript_1362
Morus_000688-R1	Bato_000688-R1	ArtoA_014584-R1	ArtoB_012586-R1
Morus_000689-R1	Bato_000689-R1	ArtoA_028710-R1	ArtoB_021795-R1
Morus_000691-R1	Bato_000695-R1	ArtoA_014575-R1	ArtoB_013260-R1
Morus_000698-R1	Bato_000698-R1	ArtoA_012266-R1	ArtoB_020748-R1
Morus_000701-R1	Bato_000702-R1	ArtoA_013459-R1	ArtoB_013173-R1
Morus_000710-R1	Bato_000710-R1	ArtoA_013468-R1	ArtoB_unassigned_transcript_1372
