Gene	category
Morus_004605-R1	B_biased_purifying
Morus_004609-R1	B_biased_purifying
Morus_004613-R1	B_biased_purifying
Morus_004622-R1	B_biased_purifying
Morus_004632-R1	B_biased_purifying
Morus_004634-R1	B_biased_purifying
Morus_004638-R1	B_biased_purifying
Morus_004681-R1	B_biased_purifying
Morus_004684-R1	B_biased_purifying
Morus_004719-R1	B_biased_purifying
Morus_004737-R1	B_biased_purifying
Morus_004744-R1	A_biased_purifying
Morus_004757-R1	B_biased_purifying
Morus_004761-R1	B_biased_purifying
Morus_004767-R1	B_biased_purifying
Morus_004777-R1	B_biased_purifying
Morus_004783-R1	B_biased_purifying
Morus_004814-R8	B_biased_purifying
Morus_004817-R1	A_biased_purifying
Morus_004826-R1	B_biased_purifying
Morus_004861-R1	B_biased_purifying
Morus_004873-R1	B_biased_purifying
Morus_004877-R1	B_biased_purifying
Morus_004897-R1	B_biased_purifying
Morus_004904-R1	B_biased_purifying
Morus_004920-R1	B_biased_purifying
Morus_004923-R1	B_biased_purifying
Morus_004927-R2	B_biased_purifying
Morus_004937-R1	B_biased_purifying
Morus_004957-R1	B_biased_purifying
Morus_004959-R1	A_biased_purifying
Morus_004982-R1	A_biased_purifying
Morus_004985-R1	B_biased_purifying
Morus_004997-R1	A_biased_purifying
Morus_005000-R1	B_biased_purifying
Morus_005013-R6	B_biased_purifying
Morus_005055-R1	B_biased_purifying
Morus_005089-R1	B_biased_purifying
Morus_005096-R1	B_biased_purifying
Morus_005108-R1	B_biased_purifying
Morus_005121-R1	B_biased_purifying
Morus_005135-R2	B_biased_purifying
Morus_005148-R1	B_biased_purifying
Morus_005160-R1	A_biased_purifying
Morus_005191-R1	B_biased_purifying
Morus_005198-R2	B_biased_purifying
Morus_005202-R1	B_biased_purifying
Morus_005207-R1	B_biased_purifying
Morus_005219-R1	B_biased_purifying
Morus_005223-R1	B_biased_purifying
Morus_005243-R1	B_biased_purifying
Morus_005247-R1	A_biased_purifying
Morus_005254-R1	B_biased_purifying
Morus_005263-R1	B_biased_purifying
Morus_005327-R1	B_biased_purifying
Morus_005344-R1	B_biased_purifying
Morus_005346-R1	B_biased_purifying
Morus_005348-R1	B_biased_purifying
Morus_005354-R1	B_biased_purifying
Morus_005367-R1	A_biased_purifying
Morus_005376-R1	B_biased_purifying
Morus_005381-R1	A_biased_purifying
Morus_005390-R1	B_biased_purifying
Morus_005404-R1	B_biased_purifying
Morus_005494-R1	B_biased_purifying
Morus_005523-R1	B_biased_purifying
Morus_005527-R1	B_biased_purifying
Morus_005552-R1	B_biased_purifying
Morus_005561-R2	B_biased_purifying
Morus_005596-R1	B_biased_purifying
Morus_005610-R1	A_biased_purifying
Morus_005630-R1	B_biased_purifying
Morus_005646-R1	B_biased_purifying
Morus_005667-R1	B_biased_purifying
Morus_005691-R1	A_biased_purifying
Morus_005702-R1	B_biased_purifying
Morus_005711-R1	B_biased_purifying
Morus_005719-R1	B_biased_purifying
Morus_005732-R1	B_biased_purifying
Morus_005735-R1	B_biased_purifying
Morus_005740-R1	B_biased_purifying
Morus_005764-R1	B_biased_purifying
Morus_005774-R1	B_biased_purifying
Morus_005775-R1	B_biased_purifying
Morus_005779-R1	B_biased_purifying
Morus_005781-R1	B_biased_purifying
Morus_005783-R1	B_biased_purifying
Morus_005788-R1	B_biased_purifying
Morus_005789-R1	B_biased_purifying
Morus_005792-R1	B_biased_purifying
Morus_005795-R1	B_biased_purifying
Morus_005817-R1	B_biased_purifying
Morus_005847-R1	B_biased_purifying
Morus_005855-R1	B_biased_purifying
Morus_005863-R1	B_biased_purifying
Morus_005875-R1	B_biased_purifying
Morus_005881-R1	B_biased_purifying
Morus_005884-R1	B_biased_purifying
Morus_005926-R1	B_biased_purifying
Morus_005928-R1	B_biased_purifying
Morus_006002-R1	B_biased_purifying
Morus_006005-R1	B_biased_purifying
Morus_006013-R6	B_biased_purifying
Morus_006032-R1	B_biased_purifying
Morus_006041-R1	B_biased_purifying
Morus_006049-R1	B_biased_purifying
Morus_006053-R1	A_biased_purifying
Morus_006063-R1	B_biased_purifying
Morus_006067-R1	B_biased_purifying
Morus_006080-R1	B_biased_purifying
Morus_006084-R1	B_biased_purifying
Morus_006109-R1	B_biased_purifying
Morus_006115-R1	B_biased_purifying
Morus_006124-R1	B_biased_purifying
Morus_006148-R1	B_biased_purifying
Morus_006158-R1	B_biased_purifying
Morus_006195-R1	B_biased_purifying
Morus_006216-R1	B_biased_purifying
Morus_006228-R1	B_biased_purifying
Morus_006255-R1	B_biased_purifying
Morus_006280-R1	A_biased_purifying
Morus_006288-R1	B_biased_purifying
Morus_006295-R1	B_biased_purifying
Morus_006327-R1	B_biased_purifying
Morus_006332-R1	B_biased_purifying
Morus_006347-R2	B_biased_purifying
Morus_006363-R1	B_biased_purifying
Morus_006373-R1	A_biased_purifying
Morus_006400-R1	B_biased_purifying
Morus_006417-R1	A_biased_purifying
Morus_006456-R1	B_biased_purifying
Morus_006459-R1	B_biased_purifying
Morus_006460-R1	B_biased_purifying
Morus_006462-R1	B_biased_purifying
Morus_006468-R1	B_biased_purifying
Morus_006469-R1	A_biased_purifying
Morus_006474-R1	B_biased_purifying
Morus_006477-R1	B_biased_purifying
Morus_006498-R1	B_biased_purifying
Morus_006516-R1	B_biased_purifying
Morus_006519-R1	B_biased_purifying
Morus_006550-R1	B_biased_purifying
Morus_006551-R1	B_biased_purifying
Morus_006553-R1	B_biased_purifying
Morus_006554-R1	B_biased_purifying
Morus_006561-R1	B_biased_purifying
Morus_006562-R1	B_biased_purifying
Morus_006563-R1	B_biased_purifying
Morus_006569-R1	B_biased_purifying
Morus_006572-R1	B_biased_purifying
Morus_006580-R1	B_biased_purifying
Morus_006605-R1	B_biased_purifying
Morus_006608-R1	A_biased_purifying
Morus_006617-R1	B_biased_purifying
Morus_006631-R1	B_biased_purifying
Morus_006644-R1	B_biased_purifying
Morus_006645-R1	A_biased_purifying
Morus_006651-R2	A_biased_purifying
Morus_006672-R1	B_biased_purifying
Morus_006673-R1	B_biased_purifying
Morus_006674-R1	B_biased_purifying
Morus_006676-R1	B_biased_purifying
Morus_006679-R1	B_biased_purifying
Morus_006695-R1	B_biased_purifying
Morus_006698-R1	B_biased_purifying
Morus_006724-R2	B_biased_purifying
Morus_006748-R1	B_biased_purifying
Morus_006776-R1	B_biased_purifying
Morus_006824-R1	B_biased_purifying
Morus_006826-R1	B_biased_purifying
Morus_006829-R1	B_biased_purifying
Morus_006850-R1	B_biased_purifying
Morus_006866-R1	A_biased_purifying
Morus_006878-R2	B_biased_purifying
Morus_006909-R1	B_biased_purifying
Morus_006935-R1	B_biased_purifying
Morus_006953-R1	B_biased_purifying
Morus_006958-R1	B_biased_purifying
Morus_006968-R1	A_biased_purifying
Morus_006979-R1	A_biased_purifying
Morus_007017-R1	B_biased_purifying
Morus_007029-R1	B_biased_purifying
Morus_007059-R1	B_biased_purifying
Morus_007061-R3	B_biased_purifying
Morus_007108-R1	B_biased_purifying
Morus_007123-R1	B_biased_purifying
Morus_007133-R1	B_biased_purifying
Morus_007163-R1	B_biased_purifying
Morus_007226-R1	B_biased_purifying
Morus_007252-R1	B_biased_purifying
Morus_007258-R1	B_biased_purifying
Morus_007293-R1	B_biased_purifying
Morus_007305-R1	B_biased_purifying
Morus_007336-R1	B_biased_purifying
Morus_007341-R2	B_biased_purifying
Morus_007361-R3	B_biased_purifying
Morus_007400-R1	B_biased_purifying
Morus_007414-R1	B_biased_purifying
Morus_007444-R1	B_biased_purifying
Morus_007464-R1	B_biased_purifying
Morus_007473-R1	B_biased_purifying
Morus_007476-R2	B_biased_purifying
Morus_007492-R1	B_biased_purifying
Morus_007507-R1	B_biased_purifying
Morus_007508-R1	B_biased_purifying
Morus_007532-R1	B_biased_purifying
Morus_007539-R1	B_biased_purifying
Morus_007544-R1	B_biased_purifying
Morus_007552-R1	B_biased_purifying
Morus_007579-R1	A_biased_purifying
Morus_007595-R1	B_biased_purifying
Morus_007668-R1	B_biased_purifying
Morus_007686-R1	A_biased_purifying
Morus_007697-R1	B_biased_purifying
Morus_007718-R1	B_biased_purifying
Morus_007755-R1	B_biased_purifying
Morus_007762-R1	B_biased_purifying
Morus_007773-R2	B_biased_purifying
Morus_007842-R1	B_biased_purifying
Morus_007843-R1	B_biased_purifying
Morus_007927-R1	B_biased_purifying
Morus_007930-R1	B_biased_purifying
Morus_007932-R2	B_biased_purifying
Morus_007933-R1	B_biased_purifying
Morus_007938-R1	B_biased_purifying
Morus_007942-R1	B_biased_purifying
Morus_007945-R1	B_biased_purifying
Morus_007952-R1	B_biased_purifying
Morus_007958-R1	B_biased_purifying
Morus_007981-R1	B_biased_purifying
Morus_007998-R1	B_biased_purifying
Morus_008005-R1	B_biased_purifying
Morus_008007-R1	B_biased_purifying
Morus_008018-R1	B_biased_purifying
Morus_008079-R1	B_biased_purifying
Morus_008086-R1	A_biased_purifying
Morus_008094-R1	B_biased_purifying
Morus_008098-R1	A_biased_purifying
Morus_008109-R1	A_biased_purifying
Morus_008118-R1	A_biased_purifying
Morus_008131-R1	B_biased_purifying
Morus_008134-R1	B_biased_purifying
Morus_008170-R1	B_biased_purifying
Morus_008187-R1	A_biased_purifying
Morus_008190-R1	B_biased_purifying
Morus_008194-R1	B_biased_purifying
Morus_008198-R1	A_biased_purifying
Morus_008199-R1	B_biased_purifying
Morus_008216-R1	B_biased_purifying
Morus_008226-R1	B_biased_purifying
Morus_008231-R1	B_biased_purifying
Morus_008241-R1	B_biased_purifying
Morus_008250-R1	B_biased_purifying
Morus_008252-R1	B_biased_purifying
Morus_008274-R1	A_biased_purifying
Morus_008278-R1	B_biased_purifying
Morus_008303-R1	B_biased_purifying
Morus_008315-R1	A_biased_purifying
Morus_008322-R2	B_biased_purifying
Morus_008327-R1	A_biased_purifying
Morus_008332-R1	B_biased_purifying
Morus_008344-R1	B_biased_purifying
Morus_008347-R1	B_biased_purifying
Morus_008350-R1	B_biased_purifying
Morus_008355-R1	B_biased_purifying
Morus_008380-R2	B_biased_purifying
Morus_008415-R1	B_biased_purifying
Morus_008423-R1	B_biased_purifying
Morus_008425-R1	B_biased_purifying
Morus_008429-R1	B_biased_purifying
Morus_008433-R1	B_biased_purifying
Morus_008439-R1	B_biased_purifying
Morus_008443-R1	A_biased_purifying
Morus_008449-R1	B_biased_purifying
Morus_008452-R1	B_biased_purifying
Morus_008469-R1	B_biased_purifying
Morus_008484-R1	B_biased_purifying
Morus_008492-R1	B_biased_purifying
Morus_008503-R1	A_biased_purifying
Morus_008526-R2	B_biased_purifying
Morus_008561-R1	B_biased_purifying
Morus_008585-R1	B_biased_purifying
Morus_008610-R1	B_biased_purifying
Morus_008612-R1	B_biased_purifying
Morus_008618-R1	B_biased_purifying
Morus_008620-R1	B_biased_purifying
Morus_008661-R1	B_biased_purifying
Morus_008668-R1	B_biased_purifying
Morus_008671-R1	B_biased_purifying
Morus_008680-R1	B_biased_purifying
Morus_008681-R1	B_biased_purifying
Morus_008687-R1	B_biased_purifying
Morus_008710-R1	B_biased_purifying
Morus_008749-R1	B_biased_purifying
Morus_008755-R1	B_biased_purifying
Morus_008782-R1	B_biased_purifying
Morus_008791-R1	B_biased_purifying
Morus_008798-R1	A_biased_purifying
Morus_008801-R1	B_biased_purifying
Morus_008803-R1	B_biased_purifying
Morus_008840-R1	B_biased_purifying
Morus_008851-R1	B_biased_purifying
Morus_008878-R1	B_biased_purifying
Morus_008888-R1	B_biased_purifying
Morus_008907-R1	B_biased_purifying
Morus_008908-R1	B_biased_purifying
Morus_008930-R1	A_biased_purifying
Morus_008935-R1	B_biased_purifying
Morus_008954-R1	B_biased_purifying
Morus_009016-R2	B_biased_purifying
Morus_009017-R1	B_biased_purifying
Morus_009022-R1	B_biased_purifying
Morus_009025-R1	B_biased_purifying
Morus_009028-R1	B_biased_purifying
Morus_009040-R1	A_biased_purifying
Morus_009043-R1	B_biased_purifying
Morus_009057-R2	B_biased_purifying
Morus_009065-R1	B_biased_purifying
Morus_009083-R1	B_biased_purifying
Morus_009085-R1	B_biased_purifying
Morus_009216-R1	B_biased_purifying
Morus_009261-R1	A_biased_purifying
Morus_009286-R1	B_biased_purifying
Morus_009347-R1	B_biased_purifying
Morus_009352-R1	B_biased_purifying
Morus_009385-R1	B_biased_purifying
Morus_009393-R1	B_biased_purifying
Morus_009404-R1	B_biased_purifying
Morus_009414-R1	B_biased_purifying
Morus_009420-R1	B_biased_purifying
Morus_009424-R1	B_biased_purifying
Morus_009426-R1	B_biased_purifying
Morus_009433-R1	B_biased_purifying
Morus_009443-R1	B_biased_purifying
Morus_009470-R2	B_biased_purifying
Morus_009478-R1	B_biased_purifying
Morus_009493-R1	B_biased_purifying
Morus_009501-R1	B_biased_purifying
Morus_009511-R1	B_biased_purifying
Morus_009520-R1	B_biased_purifying
Morus_009528-R1	A_biased_purifying
Morus_009544-R1	B_biased_purifying
Morus_009597-R1	A_biased_purifying
Morus_009608-R1	B_biased_purifying
Morus_009624-R1	B_biased_purifying
Morus_009631-R1	B_biased_purifying
Morus_009633-R2	A_biased_purifying
Morus_009671-R1	B_biased_purifying
Morus_009705-R1	B_biased_purifying
Morus_009708-R1	B_biased_purifying
Morus_009709-R1	B_biased_purifying
Morus_009719-R1	A_biased_purifying
Morus_009720-R1	B_biased_purifying
Morus_009743-R1	B_biased_purifying
Morus_009753-R1	B_biased_purifying
Morus_009764-R1	B_biased_purifying
Morus_009778-R1	B_biased_purifying
Morus_009804-R1	B_biased_purifying
Morus_009814-R1	B_biased_purifying
Morus_009815-R1	B_biased_purifying
Morus_009825-R1	B_biased_purifying
Morus_009827-R1	B_biased_purifying
Morus_009849-R1	B_biased_purifying
Morus_009851-R1	B_biased_purifying
Morus_009857-R1	B_biased_purifying
Morus_009861-R1	B_biased_purifying
Morus_009872-R1	A_biased_purifying
Morus_009904-R1	A_biased_purifying
Morus_009912-R1	B_biased_purifying
Morus_009926-R1	B_biased_purifying
Morus_009965-R1	B_biased_purifying
Morus_009971-R1	B_biased_purifying
Morus_009975-R1	A_biased_purifying
Morus_009977-R1	B_biased_purifying
Morus_010007-R1	B_biased_purifying
Morus_010021-R1	B_biased_purifying
Morus_010036-R1	B_biased_purifying
Morus_010039-R1	B_biased_purifying
Morus_010046-R1	B_biased_purifying
Morus_010056-R1	B_biased_purifying
Morus_010063-R1	A_biased_purifying
Morus_010071-R1	B_biased_purifying
Morus_010078-R1	B_biased_purifying
Morus_010081-R1	B_biased_purifying
Morus_010099-R1	B_biased_purifying
Morus_010109-R1	B_biased_purifying
Morus_010114-R1	B_biased_purifying
Morus_010125-R1	B_biased_purifying
Morus_010152-R1	B_biased_purifying
Morus_010165-R1	A_biased_purifying
Morus_010168-R1	B_biased_purifying
Morus_010169-R1	B_biased_purifying
