tclassif	cov	count	proportion	gen	Number_of_Distinct_Classifications	Antiaris_toxicaria
Other (Simple Repeat, Microsatellite, RNA)	17193599	328530	0.0198025553495972	868251531	6667	HART058
Rolling Circle	3031332	5179	0.00349130625374043	868251531	678	HART058
SINE	219696	413	0.000253032666405975	868251531	2	HART058
Unclassified	201117724	496547	0.231635323197605	868251531	926	HART058
DNA	31093866	37706	0.038640458045223	804697138	91	HART060
LINE	5798662	13863	0.00720601792422431	804697138	31	HART060
LTR	270428030	235981	0.336061876238461	804697138	564	HART060
Other (Simple Repeat, Microsatellite, RNA)	25922978	320246	0.0322145771071451	804697138	6685	HART060
Penelope	1375504	1346	0.00170934372081736	804697138	7	HART060
Rolling Circle	1542904	3253	0.00191737229715362	804697138	56	HART060
Unclassified	206967661	461837	0.257199449614546	804697138	928	HART060
DNA	32684917	34950	0.0378056718504299	864550619	89	HART061
LINE	3000458	7942	0.00347054057224612	864550619	23	HART061
LTR	340418260	191204	0.393751681531096	864550619	470	HART061
Other (Simple Repeat, Microsatellite, RNA)	15897445	313968	0.0183881020389391	864550619	6645	HART061
Rolling Circle	5885644	8683	0.0068077494488498	864550619	81	HART061
SINE	20956	62	0.000024239182228843	864550619	1	HART061
Unclassified	195611424	520540	0.226257919086632	864550619	987	HART061
DNA	32433694	35123	0.0380616464700282	852135864	88	HART062
LINE	3184679	9252	0.00373729018404511	852135864	27	HART062
LTR	343349227	198094	0.402927797673353	852135864	500	HART062
Other (Simple Repeat, Microsatellite, RNA)	14883108	312797	0.0174656514632976	852135864	6607	HART062
Rolling Circle	3937888	8611	0.00462119735404072	852135864	81	HART062
Unclassified	188452794	519068	0.22115345916247	852135864	938	HART062
DNA	35943639	39065	0.0466805106645648	769992412	92	HART063
LINE	4624654	14663	0.00600610334326256	769992412	29	HART063
LTR	294319683	211057	0.382237121318541	769992412	515	HART063
Other (Simple Repeat, Microsatellite, RNA)	14946401	285895	0.0194111016771942	769992412	6731	HART063
Rolling Circle	2299959	5144	0.00298698917568034	769992412	389	HART063
Unclassified	160291446	466345	0.20817276053884	769992412	955	HART063
DNA	32730279	37340	0.0418436163742757	782204834	82	HART067
LINE	5285214	13669	0.00675681582402494	782204834	26	HART067
LTR	295412716	195205	0.37766669695626	782204834	503	HART067
Other (Simple Repeat, Microsatellite, RNA)	17369490	310304	0.0222058075391541	782204834	6802	HART067
Rolling Circle	4487416	8595	0.00573688093571664	782204834	178	HART067
SINE	250838	464	0.000320680708040728	782204834	2	HART067
Unclassified	163505658	483121	0.209031766224037	782204834	947	HART067
DNA	27957061	33988	0.0375343579024883	744839197	91	HART068
LINE	3683349	9676	0.00494515999538623	744839197	24	HART068
LTR	271237139	224211	0.364155296998957	744839197	563	HART068
Other (Simple Repeat, Microsatellite, RNA)	15117588	316732	0.020296445274214	744839197	6534	HART068
Penelope	264454	1566	0.000355048446785756	744839197	2	HART068
Rolling Circle	3265660	8232	0.00438438257969391	744839197	58	HART068
SINE	3206	22	0.00000430428475422998	744839197	1	HART068
Unclassified	165543722	456464	0.222254310281686	744839197	977	HART068
DNA	12986981	17925	0.0379864576369298	341884498	116	Morus_mongolica
LINE	2140796	4426	0.00626175217807038	341884498	32	Morus_mongolica
LTR	88016107	62900	0.2574439833186	341884498	443	Morus_mongolica
Other (Simple Repeat, Microsatellite, RNA)	14590045	208636	0.0426753628355504	341884498	4918	Morus_mongolica
Penelope	129998	142	0.000380239527561147	341884498	1	Morus_mongolica
Rolling Circle	7041646	10521	0.0205965641647782	341884498	3646	Morus_mongolica
Unclassified	81743467	265586	0.239096734359684	341884498	1066	Morus_mongolica
DNA	31542141	29784	0.0593089770154824	531827433	176	N15_23
LINE	3279190	5919	0.00616589103255228	531827433	32	N15_23
LTR	191507280	137682	0.360092895019953	531827433	612	N15_23
Other (Simple Repeat, Microsatellite, RNA)	20173765	216206	0.037932915356023	531827433	5733	N15_23
Rolling Circle	3048349	4007	0.00573183858306158	531827433	267	N15_23
SINE	85940	299	0.000161593770210797	531827433	1	N15_23
Unclassified	113610302	322694	0.213622492843463	531827433	1048	N15_23
DNA	31826533	32810	0.0436538302976838	729066219	82	N97_50
LINE	2456535	5867	0.00336942644711948	729066219	19	N97_50
LTR	252491712	212041	0.346322056103933	729066219	578	N97_50
Other (Simple Repeat, Microsatellite, RNA)	13582921	317867	0.0186305724308974	729066219	6485	N97_50
Penelope	474694	1008	0.000651098607546374	729066219	2	N97_50
Rolling Circle	849984	1125	0.0011658529470284	729066219	52	N97_50
SINE	494518	1653	0.000678289553284048	729066219	3	N97_50
Unclassified	167626353	451263	0.229919242767714	729066219	994	N97_50
